"Time (UTCG)","x (km)","y (km)","z (km)"
22 Nov 2018 01:42:31.229,5290.123478,3517.094554,568.070757
22 Nov 2018 01:42:36.229,5289.124386,3519.213791,568.104046
22 Nov 2018 01:42:41.229,5288.674425,3521.731347,568.202824
22 Nov 2018 01:42:46.229,5288.725801,3524.697941,568.378157
22 Nov 2018 01:42:51.229,5289.198517,3528.191869,568.647365
22 Nov 2018 01:42:56.229,5289.977937,3532.305221,569.031364
22 Nov 2018 01:43:01.229,5290.919514,3537.124120,569.550656
22 Nov 2018 01:43:06.229,5291.864467,3542.708795,570.221011
22 Nov 2018 01:43:11.229,5292.662557,3549.082784,571.050775
22 Nov 2018 01:43:16.229,5293.191379,3556.235845,572.040968
22 Nov 2018 01:43:21.229,5293.364157,3564.135994,573.187461
22 Nov 2018 01:43:26.229,5293.126667,3572.742311,574.483572
22 Nov 2018 01:43:31.229,5292.449036,3582.013655,575.921984
22 Nov 2018 01:43:36.229,5291.317360,3591.912843,577.495771
22 Nov 2018 01:43:41.229,5289.727262,3602.407852,579.198796
22 Nov 2018 01:43:46.229,5287.679630,3613.471572,581.025758
22 Nov 2018 01:43:51.229,5285.177999,3625.081026,582.972110
22 Nov 2018 01:43:56.229,5282.227051,3637.216535,585.033926
22 Nov 2018 01:44:01.229,5278.831781,3649.860966,587.207777
22 Nov 2018 01:44:06.229,5274.997055,3662.999138,589.490618
22 Nov 2018 01:44:11.229,5270.727402,3676.617356,591.879709
22 Nov 2018 01:44:16.229,5266.026922,3690.703052,594.372541
22 Nov 2018 01:44:21.229,5260.899270,3705.244518,596.966786
22 Nov 2018 01:44:26.229,5255.347666,3720.230706,599.660257
22 Nov 2018 01:44:31.229,5249.374934,3735.651067,602.450875
22 Nov 2018 01:44:36.229,5242.983533,3751.495442,605.336647
22 Nov 2018 01:44:41.229,5236.175605,3767.753966,608.315648
22 Nov 2018 01:44:46.229,5228.953011,3784.417002,611.386000
22 Nov 2018 01:44:51.229,5221.317366,3801.475084,614.545871
22 Nov 2018 01:44:56.229,5213.270076,3818.918879,617.793456
22 Nov 2018 01:45:01.229,5204.812366,3836.739150,621.126975
22 Nov 2018 01:45:06.229,5195.945307,3854.926733,624.544668
22 Nov 2018 01:45:11.229,5186.669843,3873.472517,628.044786
22 Nov 2018 01:45:16.229,5176.986810,3892.367423,631.625591
22 Nov 2018 01:45:21.229,5166.896955,3911.602399,635.285353
22 Nov 2018 01:45:26.229,5156.400960,3931.168401,639.022344
22 Nov 2018 01:45:31.229,5145.499447,3951.056395,642.834841
22 Nov 2018 01:45:36.229,5134.193005,3971.257342,646.721119
22 Nov 2018 01:45:41.229,5122.482193,3991.762198,650.679454
22 Nov 2018 01:45:46.229,5110.367558,4012.561909,654.708123
22 Nov 2018 01:45:51.229,5097.849644,4033.647410,658.805396
22 Nov 2018 01:45:56.229,5084.929001,4055.009621,662.969545
22 Nov 2018 01:46:01.229,5071.606197,4076.639450,667.198835
22 Nov 2018 01:46:06.229,5057.881826,4098.527786,671.491530
22 Nov 2018 01:46:11.229,5043.756515,4120.665507,675.845889
22 Nov 2018 01:46:16.229,5029.230931,4143.043472,680.260167
22 Nov 2018 01:46:21.229,5014.305792,4165.652531,684.732616
22 Nov 2018 01:46:26.229,4998.981868,4188.483518,689.261482
22 Nov 2018 01:46:31.229,4983.259992,4211.527256,693.845011
22 Nov 2018 01:46:36.229,4967.141064,4234.774562,698.481442
22 Nov 2018 01:46:41.229,4950.626057,4258.216242,703.169011
22 Nov 2018 01:46:46.229,4933.716020,4281.843098,707.905953
22 Nov 2018 01:46:51.229,4916.412087,4305.645929,712.690497
22 Nov 2018 01:46:56.229,4898.715478,4329.615533,717.520871
22 Nov 2018 01:47:01.229,4880.627506,4353.742711,722.395302
22 Nov 2018 01:47:06.229,4862.149580,4378.018266,727.312013
22 Nov 2018 01:47:11.229,4843.283210,4402.433011,732.269227
22 Nov 2018 01:47:16.229,4824.030007,4426.977768,737.265164
22 Nov 2018 01:47:21.229,4804.391691,4451.643372,742.298046
22 Nov 2018 01:47:26.229,4784.370096,4476.420677,747.366094
22 Nov 2018 01:47:31.229,4763.967164,4501.300552,752.467528
22 Nov 2018 01:47:36.229,4743.184958,4526.273893,757.600570
22 Nov 2018 01:47:41.229,4722.025659,4551.331618,762.763445
22 Nov 2018 01:47:46.229,4700.491572,4576.464678,767.954377
22 Nov 2018 01:47:51.229,4678.585125,4601.664055,773.171594
22 Nov 2018 01:47:56.229,4656.308873,4626.920766,778.413328
22 Nov 2018 01:48:01.229,4633.665501,4652.225869,783.677813
22 Nov 2018 01:48:06.229,4610.657825,4677.570465,788.963288
22 Nov 2018 01:48:11.229,4587.288793,4702.945702,794.267998
22 Nov 2018 01:48:16.229,4563.561487,4728.342777,799.590191
22 Nov 2018 01:48:21.229,4539.479127,4753.752940,804.928122
22 Nov 2018 01:48:26.229,4515.045069,4779.167501,810.280055
22 Nov 2018 01:48:31.229,4490.262807,4804.577829,815.644258
22 Nov 2018 01:48:36.229,4465.135974,4829.975357,821.019008
22 Nov 2018 01:48:41.229,4439.668345,4855.351588,826.402592
22 Nov 2018 01:48:46.229,4413.863835,4880.698096,831.793305
22 Nov 2018 01:48:51.229,4387.726499,4906.006529,837.189452
22 Nov 2018 01:48:56.229,4361.260537,4931.268615,842.589349
22 Nov 2018 01:49:01.229,4334.470289,4956.476165,847.991321
22 Nov 2018 01:49:06.229,4307.360238,4981.621076,853.393709
22 Nov 2018 01:49:11.229,4279.935011,5006.695334,858.794862
22 Nov 2018 01:49:16.229,4252.199374,5031.691018,864.193145
22 Nov 2018 01:49:21.229,4224.158239,5056.600305,869.586935
22 Nov 2018 01:49:26.229,4195.816656,5081.415471,874.974626
22 Nov 2018 01:49:31.229,4167.179819,5106.128896,880.354624
22 Nov 2018 01:49:36.229,4138.253062,5130.733068,885.725352
22 Nov 2018 01:49:41.229,4109.041857,5155.220584,891.085249
