"Time (UTCG)","L2_X (km)","L2_Y (km)","L2_Z (km)"
22 Nov 2018 01:42:31.229,-1487964.806510,-1614.032532,-487.446306
22 Nov 2018 01:42:36.229,-1487963.626594,-1612.240160,-488.260496
22 Nov 2018 01:42:41.229,-1487961.830343,-1610.721570,-489.173024
22 Nov 2018 01:42:46.229,-1487959.398196,-1609.409712,-490.193909
22 Nov 2018 01:42:51.229,-1487956.303041,-1608.195674,-491.338403
22 Nov 2018 01:42:56.229,-1487952.523249,-1606.933556,-492.623940
22 Nov 2018 01:43:01.229,-1487948.057253,-1605.454568,-494.065968
22 Nov 2018 01:43:06.229,-1487942.932802,-1603.590703,-495.673971
22 Nov 2018 01:43:11.229,-1487937.204831,-1601.199925,-497.449656
22 Nov 2018 01:43:16.229,-1487930.943317,-1598.181406,-499.388012
22 Nov 2018 01:43:21.229,-1487924.219066,-1594.476182,-501.480108
22 Nov 2018 01:43:26.229,-1487917.094261,-1590.058005,-503.715798
22 Nov 2018 01:43:31.229,-1487909.619099,-1584.921824,-506.085434
22 Nov 2018 01:43:36.229,-1487901.832398,-1579.074414,-508.580580
22 Nov 2018 01:43:41.229,-1487893.763780,-1572.528189,-511.194132
22 Nov 2018 01:43:46.229,-1487885.436027,-1565.297630,-513.920169
22 Nov 2018 01:43:51.229,-1487876.867048,-1557.397423,-516.753725
22 Nov 2018 01:43:56.229,-1487868.071354,-1548.841575,-519.690574
22 Nov 2018 01:44:01.229,-1487859.061114,-1539.643073,-522.727050
22 Nov 2018 01:44:06.229,-1487849.846886,-1529.813804,-525.859907
22 Nov 2018 01:44:11.229,-1487840.438125,-1519.364613,-529.086212
22 Nov 2018 01:44:16.229,-1487830.843535,-1508.305402,-532.403269
22 Nov 2018 01:44:21.229,-1487821.071300,-1496.645249,-535.808557
22 Nov 2018 01:44:26.229,-1487811.129260,-1484.392527,-539.299688
22 Nov 2018 01:44:31.229,-1487801.025024,-1471.555006,-542.874374
22 Nov 2018 01:44:36.229,-1487790.766047,-1458.139949,-546.530402
22 Nov 2018 01:44:41.229,-1487780.359693,-1444.154191,-550.265618
22 Nov 2018 01:44:46.229,-1487769.813270,-1429.604210,-554.077907
22 Nov 2018 01:44:51.229,-1487759.134062,-1414.496184,-557.965189
22 Nov 2018 01:44:56.229,-1487748.329344,-1398.836044,-561.925406
22 Nov 2018 01:45:01.229,-1487737.406399,-1382.629511,-565.956518
22 Nov 2018 01:45:06.229,-1487726.372522,-1365.882142,-570.056495
22 Nov 2018 01:45:11.229,-1487715.235032,-1348.599353,-574.223317
22 Nov 2018 01:45:16.229,-1487704.001267,-1330.786449,-578.454968
22 Nov 2018 01:45:21.229,-1487692.678591,-1312.448649,-582.749436
22 Nov 2018 01:45:26.229,-1487681.274393,-1293.591105,-587.104708
22 Nov 2018 01:45:31.229,-1487669.796083,-1274.218921,-591.518773
22 Nov 2018 01:45:36.229,-1487658.251092,-1254.337166,-595.989617
22 Nov 2018 01:45:41.229,-1487646.646870,-1233.950890,-600.515225
22 Nov 2018 01:45:46.229,-1487634.990880,-1213.065136,-605.093578
22 Nov 2018 01:45:51.229,-1487623.290598,-1191.684950,-609.722656
22 Nov 2018 01:45:56.229,-1487611.553509,-1169.815394,-614.400436
22 Nov 2018 01:46:01.229,-1487599.787101,-1147.461547,-619.124890
22 Nov 2018 01:46:06.229,-1487587.998862,-1124.628522,-623.893989
22 Nov 2018 01:46:11.229,-1487576.196277,-1101.321467,-628.705702
22 Nov 2018 01:46:16.229,-1487564.386822,-1077.545573,-633.557994
22 Nov 2018 01:46:21.229,-1487552.577961,-1053.306080,-638.448830
22 Nov 2018 01:46:26.229,-1487540.777142,-1028.608282,-643.376172
